COLOR ID,COLOR NAME,COLOR CODE,COLOR FAMILY,COLOR_TYPE,COLOUR VALUE,FINISH,RGB,PANTONE_CODE,H&M CODE
C001,Navy Blue,#001F3F,Blue,Solid,MEDIUM DUSTY,Yarn Dyed,"0,31,63",19-3921,32-207
C002,Heather Grey,#B0B0B0,Neutral,Melange,DARK,Yarn Dyed,"176,176,176",14-4102,32-202
C003,Red,#FF0000,Red,Solid,DUSTY LIGHT,Yarn Dyed,"255,0,0",18-1662,32-105
C004,Black,#000000,Neutral,Solid,BRIGHT,Dope Dyed,"0,0,0",19-0303,32-104
C005,White,#FFFFFF,Neutral,Solid,MEDIUM,Yarn Dyed,"255,255,255",11-0601,31-211
C006,Olive Green,#556B2F,Green,Solid,LIGHT,Yarn Dyed,"85,107,47",18-0527,31-114
C007,Burgundy,#800020,Red,Solid,MEDIUM DUSTY,Yarn Dyed,"128,0,32",19-1524,28-113
C008,Sky Blue,#87CEEB,Blue,Solid,DARK,Yarn Dyed,"135,206,235",14-4318,28-112
C009,Beige,#F5F5DC,Neutral,Solid,DUSTY LIGHT,Yarn Dyed,"245,245,220",12-0815,28-109
C010,Melange Navy,#223344,Blue,Melange,BRIGHT,Yarn Dyed,"34,51,68",19-4010,28-103
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
H&M COLOR CODE,,,,,,,,,
,,,,,,,,,
Colour Code,Colour Master,Colour Value,MIXED NAME,,Colour Master,Colour Value,MIXED NAME,,
51-138,BEIGE,MEDIUM DUSTY,BEIGE MEDIUM DUSTY,,BEIGE,MEDIUM DUSTY,BEIGE MEDIUM DUSTY,,
39-105,BEIGE,MEDIUM DUSTY,BEIGE MEDIUM DUSTY,,BLACK,DARK,BEIGE DARK,,
39-102,BEIGE,DARK,BEIGE DARK,,BLUE,DUSTY LIGHT,BEIGE DUSTY LIGHT,,
35-109,BEIGE,MEDIUM DUSTY,BEIGE MEDIUM DUSTY,,BLUISH GREEN,BRIGHT,BLACK DARK,,
35-108,BEIGE,MEDIUM DUSTY,BEIGE MEDIUM DUSTY,,BROWN,MEDIUM,BLUE MEDIUM DUSTY,,
35-102,BEIGE,MEDIUM DUSTY,BEIGE MEDIUM DUSTY,,GREEN,LIGHT,BLUE DUSTY LIGHT,,
35-101,BEIGE,DARK,BEIGE DARK,,GREY,UNDEFINED,BLUE BRIGHT,,
33-105,BEIGE,DARK,BEIGE DARK,,KHAKI GREEN,,BLUE DARK,,
33-103,BEIGE,DARK,BEIGE DARK,,LILAC PURPLE,,BLUE MEDIUM,,
32-207,BEIGE,MEDIUM DUSTY,BEIGE MEDIUM DUSTY,,METAL,,BLUE LIGHT,,
32-202,BEIGE,MEDIUM DUSTY,BEIGE MEDIUM DUSTY,,MOLE,,BLUISH GREEN DUSTY LIGHT,,
32-105,BEIGE,MEDIUM DUSTY,BEIGE MEDIUM DUSTY,,ORANGE,,BROWN DARK,,
32-104,BEIGE,DARK,BEIGE DARK,,PINK,,BROWN MEDIUM DUSTY,,
31-211,BEIGE,DUSTY LIGHT,BEIGE DUSTY LIGHT,,RED,,GREEN DARK,,
